0.010000	-nan	-nan
7.080000	-0.005000	0.005975
7.100000	0.005150	0.006835
7.120000	0.007350	0.006618
7.140000	0.000750	0.006328
7.160000	-0.013150	0.006555
7.180000	0.004400	0.006670
7.200000	0.004150	0.006639
7.220000	-0.010350	0.006461
7.240000	-0.000900	0.006650
7.260000	0.003850	0.006949
7.280000	-0.001950	0.006632
7.300000	0.006850	0.006277
7.320000	-0.006900	0.006283
7.340000	-0.004100	0.006078
7.360000	0.003500	0.006217
7.380000	0.000200	0.006570
7.400000	0.002650	0.006088
7.420000	-0.001800	0.005889
7.440000	0.004800	0.006387
7.460000	-0.011500	0.006173
7.480000	0.003350	0.005959
